Título,Autor,Data do fim,Nota
"O retrato de Dorian Gray ",Oscar Wilde,"July 8, 2025",10
O adversario,Emmanuel Clarret,"July 12, 2025",9
"
  Guia do mochileiro
  das galáxias – vol. 3
  ",Douglas Adams,"January 10, 2020",8
"
  Guia do mochileiro
  das galáxias – vol. 4
  ",Douglas Adams,"February 10, 2020",7.5
"
  Guia do mochileiro
  das galáxias – vol. 5
  ",Douglas Adams,"February 14, 2020",6
"
  Os dragões do
  Éden
  ",Carl Sagan,"March 10, 2020",10
"
  Chaos
  ",James Gleik,"April 10, 2020",7.7
"
  Clube da Luta
  ",Chuck Palahn,"April 20, 2020",8.5
Misery,"Stephen
  King","April 29, 2020",9
"
  The Meaning of it All
  ","Richard
  Feyneman","May 10, 2020",8
"
  Buracos Negros
  ",Stephen Hawking,"May 14, 2020",6
"
  A Torre Negra, vol 1
  ","Stephen
  King","May 30, 2020",7.5
"
  A Torre Negra, vol 2
  ","Stephen
  King","June 10, 2020",8.5
O exorcista,William Blatty,"June 12, 2020",9
"
  Homo Deus
  ",Yuval Noah Harari,"June 20, 2020",9.5
"
  Memórias Póstumas
  de Bras Cubas
  ",Machado de Assis,"June 30, 2020",7
"
  Fahrenheit 451                       
  ",Bradburry,"July 10, 2020",6
"
  Por que
  dormimos
  ",Mathew Walker,"July 20, 2020",8.8
"
  1Q84 vol 1 
  ",Haruki Murakami,"July 30, 2020",7.8
"
  Sobre os
  ossos dos mortos 
  ",Olga Tokarczuk,"July 31, 2020",8
"
  Senhor das
  Moscas 
  ",William Golding,"August 10, 2020",8.4
"
  Cem anos de solidão 
  ","Garcia
  Marques",,8.9
"
  A Torre Negra, vol 3
  ","Stephen
  King",,9
"
  O mundo assombrado pelos demônios
  ",Carl Sagan,,8.4
"
  A Morte de Ivan Ilitch 
  ",Tolstói,,7
"
  As crônicas de Arthur -  vol. 1
  ","Bernard
  Cornwell",,10
"
  Dez Argumentos para deletar suas
  redes sociais
  ","Jaron
  Lanier",,5
"
  Armas, germes e aço
  ","Jared
  Diamond",,10
"
  Breves respostas para grandes
  questões
  ",Stephen Hawking,,9
"
  Vinte mil léguas submarinas
  ","Jules
  Verne",,8.6
"
  Eu primata
  ","Frans de
  Waal",,10
O mago e o Vidro,"Stephen
  King","January 7, 2021",9.5
Flores para Algernon,Daniel Keyes,"January 11, 2021",6
O inimigo de Deus,"Bernard
  Cornwell","February 9, 2021",10
Excalibur,"Bernard
  Cornwell","March 1, 2021",10
Como mudar sua mente,Michael Pollan,"March 17, 2021",6
Memórias do subsolo,Fiodor Dostoiévski,"March 31, 2021",8.2
O novo iluminismo,Steven Pinker,"June 5, 2021",8.7
Odisseia no espaço,Arthur C. Clarke,"June 22, 2021",9.2
Sobre a escrita,"Stephen
  King","August 9, 2021",9
A dança da morte,"Stephen
  King","September 22, 2021",9.3
Salem’s lot,"Stephen
  King","October 27, 2021",6
O arqueiro,"Bernard
  Cornwell","January 6, 2022",9.4
Pálido ponto azul,Carl Sagan,"February 2, 2022",8.2
Fundação,Isaac Asimov,"February 14, 2022",9.4
Macbeth,William Shakespeare,"February 18, 2022",8.8
Hamlet,William Shakespeare,"February 20, 2022",8.2
Admirável mundo novo,Aldous Huxley,"March 15, 2022",6.9
Ensaio sobre a cegueira,José Saramago,"April 1, 2022",8.3
Maus,Art Spiegelman,"April 11, 2022",10
É isto um homem?,Primo Levi,"April 20, 2022",7.2
Política do chimpanzé,"Frans de
  Waal","May 16, 2022",7.2
O último reino,"Bernard
  Cornwell","June 8, 2022",9.2
Fundação e império,Isaac Asimov,"June 27, 2022",9
Segunda fundação,Isaac Asimov,"July 12, 2022",9.2
Sidarta,Herman Hesse,"July 18, 2022",10
Estação carandiru,Dráuzio Varella,"July 29, 2022",9.2
